date,time,deg_c,do_percent,spc_uS_cm,pH,FNU,tss_mg_L,bga_pe_RFU,bga_pe_ug_L,chl_RFU,chl_ug_L,dep_m,effluent_discharging,salinity
12/15/23,04:26:31PM,16.768,68,50162,8.3,0.58,0,-0.33,-0.93,0.04,0.17,0.043,,
12/15/23,04:26:32PM,16.768,67.7,50161,8.3,0.58,0,-0.34,-0.94,0.05,0.19,0.038,,
12/15/23,04:26:33PM,16.769,67.4,50161,8.3,0.56,0,-0.34,-0.96,0.05,0.18,0.038,,
12/15/23,04:26:34PM,16.769,67.2,50160,8.3,0.54,0,-0.34,-0.96,0.05,0.19,0.038,,
12/15/23,04:26:35PM,16.769,67,50160,8.31,0.55,0,-0.33,-0.92,0.04,0.17,0.038,,
12/15/23,04:26:36PM,16.769,66.8,50160,8.31,0.54,0,-0.33,-0.92,0.05,0.19,0.038,,
12/15/23,04:26:37PM,16.769,66.7,50160,8.31,0.55,0,-0.33,-0.92,0.04,0.17,0.038,,
12/15/23,04:26:38PM,16.769,66.5,50160,8.31,0.56,0,-0.33,-0.92,0.03,0.14,0.038,,
12/15/23,04:26:39PM,16.769,66.4,50160,8.31,0.54,0,-0.33,-0.93,0.04,0.15,0.038,,
12/15/23,04:26:40PM,16.769,66.3,50160,8.31,0.54,0,-0.32,-0.91,0.04,0.18,0.038,,
12/15/23,04:26:41PM,16.769,66.2,50160,8.31,0.55,0,-0.33,-0.94,0.04,0.15,0.038,,
12/15/23,04:26:42PM,16.77,66.1,50159,8.32,0.52,0,-0.34,-0.95,0.04,0.15,0.038,,
12/15/23,04:26:43PM,16.77,66,50159,8.32,0.51,0,-0.34,-0.96,0.04,0.14,0.038,,
12/15/23,04:26:44PM,16.77,66,50159,8.32,0.5,0,-0.36,-1.01,0.03,0.14,0.038,,
12/15/23,04:26:45PM,16.77,65.9,50159,8.32,0.52,0,-0.36,-1,0.04,0.15,0.038,,
12/15/23,04:26:46PM,16.77,65.8,50159,8.32,0.5,0,-0.37,-1.04,0.04,0.16,0.038,,
12/15/23,04:26:47PM,16.77,65.7,50159,8.32,0.5,0,-0.38,-1.06,0.05,0.19,0.038,,
12/15/23,04:26:48PM,16.77,65.7,50159,8.32,0.49,0,-0.38,-1.06,0.05,0.19,0.038,,
12/15/23,04:26:49PM,16.77,65.6,50159,8.32,0.48,0,-0.39,-1.08,0.06,0.22,0.038,,
12/15/23,04:26:50PM,16.77,65.6,50158,8.32,0.45,0,-0.38,-1.07,0.06,0.23,0.038,,
12/15/23,04:26:51PM,16.771,65.5,50158,8.32,0.45,0,-0.38,-1.06,0.05,0.2,0.038,,
12/15/23,04:26:52PM,16.771,65.5,50158,8.32,0.43,0,-0.38,-1.07,0.05,0.2,0.038,,
12/15/23,04:26:53PM,16.771,65.5,50157,8.32,0.43,0,-0.38,-1.06,0.05,0.18,0.038,,
12/15/23,04:26:54PM,16.771,65.4,50157,8.32,0.42,0,-0.4,-1.11,0.04,0.17,0.038,,
12/15/23,04:26:55PM,16.771,65.4,50156,8.32,0.41,0,-0.41,-1.15,0.04,0.15,0.038,,
12/15/23,04:26:56PM,16.771,65.4,50156,8.32,0.42,0,-0.41,-1.15,0.04,0.15,0.038,,
12/15/23,04:26:57PM,16.771,65.3,50156,8.32,0.42,0,-0.41,-1.16,0.03,0.13,0.038,,
12/15/23,04:26:58PM,16.771,65.3,50156,8.32,0.42,0,-0.42,-1.17,0.03,0.12,0.038,,
12/15/23,04:26:59PM,16.771,65.3,50156,8.32,0.43,0,-0.41,-1.16,0.03,0.14,0.038,,
12/15/23,04:27:00PM,16.772,65.3,50156,8.32,0.4,0,-0.41,-1.16,0.03,0.1,0.038,,
12/15/23,04:27:01PM,16.772,65.3,50155,8.32,0.41,0,-0.41,-1.15,0.03,0.11,0.038,,
12/15/23,04:27:02PM,16.772,65.3,50156,8.32,0.4,0,-0.4,-1.11,0.03,0.14,0.038,,
12/15/23,04:27:03PM,16.772,65.2,50155,8.32,0.41,0,-0.38,-1.07,0.05,0.18,0.037,,
12/15/23,04:27:04PM,16.772,65.2,50155,8.32,0.41,0,-0.38,-1.07,0.05,0.19,0.037,,
12/15/23,04:27:05PM,16.772,65.2,50155,8.32,0.4,0,-0.37,-1.02,0.05,0.19,0.037,,
12/15/23,04:27:06PM,16.772,65.2,50155,8.32,0.39,0,-0.35,-0.98,0.06,0.24,0.037,,
12/15/23,04:27:07PM,16.772,65.2,50155,8.32,0.39,0,-0.35,-0.99,0.06,0.24,0.037,,
12/15/23,04:27:08PM,16.772,65.2,50155,8.32,0.37,0,-0.35,-0.99,0.07,0.26,0.037,,
12/15/23,04:27:09PM,16.772,65.2,50155,8.32,0.37,0,-0.36,-1,0.06,0.26,0.037,,
12/15/23,04:27:10PM,16.772,65.2,50155,8.32,0.37,0,-0.36,-1.02,0.06,0.23,0.037,,
12/15/23,04:27:11PM,16.772,65.2,50154,8.32,0.38,0,-0.37,-1.04,0.06,0.23,0.037,,
12/15/23,04:27:12PM,16.772,65.2,50154,8.32,0.38,0,-0.37,-1.04,0.06,0.22,0.037,,
12/15/23,04:27:13PM,16.773,65.1,50155,8.32,0.38,0,-0.36,-1.01,0.05,0.22,0.037,,
12/15/23,04:27:14PM,16.773,65.1,50154,8.32,0.38,0,-0.35,-0.99,0.05,0.19,0.037,,
12/15/23,04:27:15PM,16.773,65.1,50154,8.32,0.43,0,-0.35,-0.97,0.05,0.21,0.038,,
12/15/23,04:27:16PM,16.773,65.1,50154,8.32,0.42,0,-0.35,-0.98,0.06,0.23,0.037,,
12/15/23,04:27:17PM,16.773,65.1,50153,8.32,0.42,0,-0.37,-1.02,0.06,0.23,0.037,,
12/15/23,04:27:18PM,16.773,65.1,50154,8.32,0.42,0,-0.37,-1.04,0.05,0.22,0.037,,
12/15/23,04:27:19PM,16.773,65.1,50153,8.32,0.41,0,-0.38,-1.06,0.05,0.2,0.037,,
12/15/23,04:27:20PM,16.773,65.1,50153,8.32,0.41,0,-0.37,-1.03,0.05,0.19,0.037,,
12/15/23,04:27:21PM,16.773,65.1,50153,8.32,0.42,0,-0.36,-1,0.05,0.2,0.037,,
